City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
387,Kulhudhuffushi,MV,83.46,overcast clouds,6.6221,73.07,Haajy Guest House 1
393,Jeremie,HT,80.64,few clouds,18.65,-74.1167,Auberge’Inn
404,Gwadar,PK,79.66,few clouds,25.1216,62.3254,Sadaf Resort
408,Ukiah,US,80.6,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
409,Lazaro Cardenas,MX,82.89,clear sky,17.9583,-102.2,Hotel Quinta Antigua
410,Mangrol,IN,79.2,clear sky,21.1167,70.1167,Hotel The Royal Honours
419,Karratha,AU,79.56,clear sky,-20.7377,116.8463,ibis Styles Karratha
425,Honiara,SB,83.08,scattered clouds,-9.4333,159.95,Heritage Park Hotel
427,Kimbe,PG,78.89,light rain,-5.5502,150.1429,Kimbe Bay Hotel
430,Hambantota,LK,77.0,broken clouds,6.1241,81.1185,Bungalow 63
437,Eydhafushi,MV,83.08,overcast clouds,5.1033,73.0708,Soneva Fushi
439,Mareeba,AU,78.8,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
440,Tautira,PF,87.8,light rain,-17.7333,-149.15,Pension Oaoa
446,Vila Velha,BR,75.2,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
448,Placido De Castro,BR,78.76,overcast clouds,-10.3353,-67.1856,Hotel Carioca
449,Bubaque,GW,76.86,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
456,Tomatlan,MX,88.68,clear sky,19.9333,-105.25,Norma franco
458,Road Town,VG,80.6,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
460,Nauta,PE,77.92,overcast clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
461,Copala,MX,86.83,clear sky,16.65,-98.9833,Biol. Fernando Martinez Salgado
463,Buraydah,SA,78.8,scattered clouds,26.326,43.975,فندق راحة السلام
464,Luwuk,ID,75.34,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
473,Bombay,IN,82.4,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
479,Dingle,PH,76.37,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
480,Kalmunai,LK,76.28,overcast clouds,7.4167,81.8167,VS Villa
483,Fram,PY,78.8,light rain,-26.9833,-55.8833,Albergue Ja'umina
487,Owando,CG,75.69,broken clouds,-0.4819,15.8999,Exaunel Hotel Owando
489,Port Blair,IN,80.94,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
492,Puerto Escondido,MX,87.8,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
494,Marawi,PH,75.99,overcast clouds,7.9986,124.2928,Derogongan Residence
500,Carolina,PR,82.99,scattered clouds,18.3808,-65.9574,Motel Fantasy Star
502,Port Moresby,PG,77.0,fog,-9.4431,147.1797,Lamana Hotel
503,Puerto Carreno,CO,86.94,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
506,Canton,CN,75.99,light rain,23.1167,113.25,Guangzhou Hotel
516,Inirida,CO,77.32,moderate rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
517,Naica,MX,89.4,overcast clouds,27.85,-105.4833,Departamentos Nicole
530,Thio,NC,77.0,clear sky,-21.6167,166.2167,La Ferme de Thio
533,Daru,PG,81.14,light rain,-9.0763,143.2092,Daru Lodge
541,Coahuayana,MX,84.2,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
542,Ixtapa,MX,82.0,clear sky,20.7,-105.2,Hotel Plaza Providencia
543,Maturin,VE,84.85,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
545,San Cristobal,VE,87.8,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
554,Curuca,BR,75.74,moderate rain,-0.7289,-47.8481,Hotel Curuça
555,Marang,MY,78.8,few clouds,5.2056,103.2059,DBarakah Homestay
556,Sibi,PK,78.64,clear sky,29.5448,67.8764,Jail Superintendent House
557,Wanning,CN,76.14,overcast clouds,18.8003,110.3967,Paradise Hotel
569,Bathsheba,BB,82.4,scattered clouds,13.2167,-59.5167,Atlantis Hotel
570,Mecca,SA,84.92,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
571,Mumford,GH,81.88,overcast clouds,5.2618,-0.759,Spanish Villa
572,Acapulco,MX,84.2,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
576,Rio Claro,BR,78.8,light rain,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
581,Oranjestad,AW,84.2,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
583,San Blas,MX,86.0,clear sky,21.5167,-105.2667,Hotel Posada del Rey
584,Matara,LK,76.69,moderate rain,5.9485,80.5353,Amaloh Boutique Resort
