City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
104,Tasiilaq,GL,2021-04-12 21:40:43,65.6145,-37.6368,26.6,68,10,10.36
105,Shimanovsk,RU,2021-04-12 21:40:43,52.0,127.7,17.37,56,47,10.13
106,Salvador,SV,2021-04-12 21:40:14,13.8333,-88.9167,91.4,54,20,12.66
107,Emba,KZ,2021-04-12 21:40:43,48.8264,58.1442,41.97,60,2,11.03
108,Mastic Beach,US,2021-04-12 21:40:44,40.7668,-72.8521,48.99,81,90,4.61
109,Ahipara,NZ,2021-04-12 21:40:44,-35.1667,173.1667,68.47,71,26,9.13
110,Harwich,GB,2021-04-12 21:40:45,51.9419,1.2844,41.0,62,5,4.0
111,Paka,MY,2021-04-12 21:40:45,4.6374,103.4368,73.4,100,43,1.54
112,Abbeville,FR,2021-04-12 21:40:45,50.1,1.8333,33.01,84,45,3.89
113,Longyearbyen,SJ,2021-04-12 21:37:32,78.2186,15.6401,10.4,61,40,9.22
114,Puerto Ayora,EC,2021-04-12 21:40:46,-0.7393,-90.3518,78.8,89,75,9.22
115,Syasstroy,RU,2021-04-12 21:40:46,60.1367,32.5691,46.33,74,46,11.23
116,Aykhal,RU,2021-04-12 21:40:46,66.0,111.5,11.91,99,100,10.2
117,Chodavaram,IN,2021-04-12 21:40:47,17.8333,82.95,80.6,89,40,2.3
118,Saint George,US,2021-04-12 21:37:14,37.1041,-113.5841,80.01,11,1,6.91
119,Avarua,CK,2021-04-12 21:40:47,-21.2078,-159.775,80.6,74,45,4.61
120,Dong Hoi,VN,2021-04-12 21:40:48,17.4833,106.6,73.35,92,85,4.61
121,Prince Rupert,CA,2021-04-12 21:40:48,54.3161,-130.3201,46.4,57,1,5.75
122,Pasinler,TR,2021-04-12 21:40:48,39.9803,41.6764,32.0,100,75,9.22
123,Ancud,CL,2021-04-12 21:40:49,-41.8697,-73.8203,63.0,100,90,11.5
124,Chapais,CA,2021-04-12 21:40:49,49.7834,-74.8492,59.0,41,1,12.66
125,Mogadishu,SO,2021-04-12 21:40:49,2.0371,45.3438,82.15,72,74,14.36
126,Tilichiki,RU,2021-04-12 21:40:50,60.4667,166.1,2.82,77,95,8.72
127,Auray,FR,2021-04-12 21:40:50,47.6703,-2.9918,45.0,75,0,6.91
128,Glendive,US,2021-04-12 21:40:50,47.1053,-104.7125,35.01,60,90,24.16
129,Narsaq,GL,2021-04-12 21:40:51,60.9167,-46.05,42.8,39,1,6.91
130,Buraydah,SA,2021-04-12 21:40:51,26.326,43.975,75.2,38,0,9.22
131,Robertson,US,2021-04-12 21:40:52,36.5167,-86.8667,73.99,35,1,6.85
132,Gamba,GA,2021-04-12 21:40:52,-2.65,10.0,79.36,88,92,4.03
133,Jamestown,US,2021-04-12 21:37:27,42.097,-79.2353,54.0,82,75,8.05
134,Prince George,CA,2021-04-12 21:39:49,53.9166,-122.753,48.99,29,1,5.75
135,Kavieng,PG,2021-04-12 21:40:53,-2.5744,150.7967,78.04,75,100,12.12
136,Inhambane,MZ,2021-04-12 21:40:53,-23.865,35.3833,73.94,80,5,8.19
137,Adrar,MR,2021-04-12 21:40:53,20.5022,-10.0711,83.44,14,0,11.95
138,Mae Sai,TH,2021-04-12 21:40:54,20.4335,99.8762,72.0,88,20,2.3
139,Saint-Pierre,RE,2021-04-12 21:40:54,-21.3393,55.4781,77.0,78,0,5.75
140,Nagato,JP,2021-04-12 21:40:54,34.3833,131.2,60.8,88,75,21.85
141,Mamallapuram,IN,2021-04-12 21:40:55,12.6264,80.1722,82.4,78,20,3.44
142,Ranong,TH,2021-04-12 21:40:55,9.9658,98.6348,77.34,89,70,3.4
143,Necochea,AR,2021-04-12 21:40:56,-38.5473,-58.7368,68.0,69,0,3.0
144,Chuy,UY,2021-04-12 21:40:56,-33.6971,-53.4616,60.57,69,0,3.94
145,Ghanzi,BW,2021-04-12 21:40:56,-21.5667,21.7833,65.97,31,0,7.9
146,Georgetown,MY,2021-04-12 21:39:37,5.4112,100.3354,80.6,94,20,3.44
147,Upernavik,GL,2021-04-12 21:40:57,72.7868,-56.1549,30.94,98,100,4.88
148,Bluff,NZ,2021-04-12 21:39:46,-46.6,168.3333,53.01,96,100,9.93
149,Hilo,US,2021-04-12 21:40:57,19.7297,-155.09,78.8,57,1,10.36
150,Hithadhoo,MV,2021-04-12 21:40:58,-0.6,73.0833,82.78,72,88,8.43
151,La Ronge,CA,2021-04-12 21:39:37,55.1001,-105.2842,37.4,32,23,11.5
152,Petrovec,MK,2021-04-12 21:40:58,41.9389,21.615,59.0,55,40,5.75
153,Iqaluit,CA,2021-04-12 21:37:13,63.7506,-68.5145,33.8,93,90,1.9
154,Grindavik,IS,2021-04-12 21:40:59,63.8424,-22.4338,41.0,93,75,9.22
155,Saint-Philippe,RE,2021-04-12 21:40:56,-21.3585,55.7679,77.0,78,0,5.75
156,Nikolskoye,RU,2021-04-12 21:37:20,59.7035,30.7861,53.01,40,0,6.71
157,Leningradskiy,RU,2021-04-12 21:39:52,69.3833,178.4167,4.08,77,100,11.68
158,Iquitos,PE,2021-04-12 21:41:00,-3.7481,-73.2472,82.4,78,75,2.3
159,Asosa,ET,2021-04-12 21:41:00,10.0667,34.5333,68.86,47,91,2.77
160,Marrakesh,MA,2021-04-12 21:39:40,31.6315,-8.0083,71.6,53,0,10.36
161,Krasnyye Baki,RU,2021-04-12 21:41:01,57.131,45.1599,39.79,98,100,7.2
162,Rock Sound,BS,2021-04-12 21:41:01,24.9,-76.2,76.73,78,31,11.45
163,Annau,TM,2021-04-12 21:41:01,37.8876,58.516,55.4,50,6,4.61
164,Alofi,NU,2021-04-12 21:41:02,-19.0595,-169.9187,80.6,83,38,8.05
165,Flinders,AU,2021-04-12 21:41:02,-34.5833,150.8552,52.0,77,0,1.01
166,Tual,ID,2021-04-12 21:41:02,-5.6667,132.75,82.06,73,70,6.04
167,Ribeira Grande,PT,2021-04-12 21:41:03,38.5167,-28.7,62.4,85,85,18.03
168,Nahrin,AF,2021-04-12 21:41:03,36.0649,69.1334,61.32,56,100,4.18
169,Balabac,PH,2021-04-12 21:41:04,7.9868,117.0645,80.13,79,81,2.28
170,Nanortalik,GL,2021-04-12 21:41:04,60.1432,-45.2371,35.02,80,14,11.9
171,Mokhsogollokh,RU,2021-04-12 21:41:04,61.4681,128.9203,5.74,96,100,2.1
172,Port Lincoln,AU,2021-04-12 21:41:05,-34.7333,135.8667,69.26,30,100,28.79
173,Mareeba,AU,2021-04-12 21:38:20,-17.0,145.4333,73.4,83,45,8.05
174,Pokaran,IN,2021-04-12 21:41:05,26.9167,71.9167,81.75,28,9,14.65
175,Sur,OM,2021-04-12 21:41:05,22.5667,59.5289,81.48,57,0,7.61
176,Saldanha,ZA,2021-04-12 21:41:06,-33.0117,17.9442,60.8,72,73,2.3
177,Xingtai,CN,2021-04-12 21:38:11,37.0631,114.4942,45.66,33,1,8.77
178,Ngaoundere,CM,2021-04-12 21:41:06,7.3167,13.5833,69.58,66,75,2.57
179,Saskylakh,RU,2021-04-12 21:41:07,71.9167,114.0833,14.58,95,99,9.73
180,Umm Lajj,SA,2021-04-12 21:41:07,25.0213,37.2685,69.4,53,1,11.18
181,Bosaso,SO,2021-04-12 21:40:54,11.2842,49.1816,80.35,60,13,8.01
182,Tautira,PF,2021-04-12 21:41:08,-17.7333,-149.15,86.0,70,40,14.97
183,Gazli,UZ,2021-04-12 21:41:08,40.1333,63.45,58.93,28,48,7.47
184,Delijan,IR,2021-04-12 21:41:08,33.9905,50.6838,63.03,23,0,2.82
185,Cayenne,GF,2021-04-12 21:38:13,4.9333,-52.3333,84.2,79,20,4.61
186,Santarem,BR,2021-04-12 21:41:09,-2.4431,-54.7083,86.0,74,20,6.91
187,Cidreira,BR,2021-04-12 21:39:18,-30.1811,-50.2056,68.76,76,25,9.44
188,Airai,TL,2021-04-12 21:40:20,-8.9266,125.4092,57.87,77,93,2.08
189,Fortuna,US,2021-04-12 21:40:12,40.5982,-124.1573,61.0,71,1,16.11
190,Trelew,AR,2021-04-12 21:41:10,-43.249,-65.3051,74.03,37,0,12.01
191,Joshimath,IN,2021-04-12 21:41:10,30.5667,79.5667,48.61,59,60,8.19
192,Domanivka,UA,2021-04-12 21:41:10,47.6319,30.9885,46.06,83,100,3.65
193,Daru,PG,2021-04-12 21:41:11,-9.0763,143.2092,78.17,82,73,4.81
194,Lompoc,US,2021-04-12 21:41:11,34.6391,-120.4579,57.0,71,32,17.27
195,Sakaiminato,JP,2021-04-12 21:41:12,35.55,133.2333,62.6,67,75,19.57
196,Poplar Bluff,US,2021-04-12 21:41:12,36.757,-90.3929,75.99,33,1,5.75
197,Asfi,MA,2021-04-12 21:41:13,32.2994,-9.2372,62.55,75,78,17.34
198,Tianmen,CN,2021-04-12 21:41:13,30.6516,113.1603,57.79,90,70,1.88
199,Olafsvik,IS,2021-04-12 21:39:51,64.8945,-23.7142,40.64,87,86,9.28
200,Sisimiut,GL,2021-04-12 21:39:50,66.9395,-53.6735,35.13,81,100,10.29
201,Sault Sainte Marie,CA,2021-04-12 21:41:14,46.5168,-84.3333,55.4,67,75,17.27
202,Rocha,UY,2021-04-12 21:40:53,-34.4833,-54.3333,59.72,84,0,1.39
203,Chicama,PE,2021-04-12 21:41:15,-7.8447,-79.1469,69.8,83,39,11.5
204,Krasnyy Chikoy,RU,2021-04-12 21:41:15,50.3643,108.7512,23.49,69,38,3.51
205,Naze,JP,2021-04-12 21:37:29,28.3667,129.4833,67.51,90,89,15.86
206,Pevek,RU,2021-04-12 21:41:15,69.7008,170.3133,-15.16,99,100,5.28
207,Namibe,AO,2021-04-12 21:41:16,-15.1961,12.1522,79.75,74,1,0.65
208,Omboue,GA,2021-04-12 21:40:17,-1.5746,9.2618,79.75,88,100,5.1
209,Tuatapere,NZ,2021-04-12 21:40:19,-46.1333,167.6833,53.01,96,100,1.01
210,College,US,2021-04-12 21:38:26,64.8569,-147.8028,44.6,42,75,9.22
211,Los Llanos De Aridane,ES,2021-04-12 21:41:17,28.6585,-17.9182,69.8,78,0,4.61
212,Bay Roberts,CA,2021-04-12 21:41:17,47.5999,-53.2648,37.99,100,90,27.63
213,Labuhan,ID,2021-04-12 21:41:17,-6.8844,112.2051,76.66,88,30,6.85
214,Geraldton,AU,2021-04-12 21:41:18,-28.7667,114.6,64.4,68,75,13.8
215,Hami,CN,2021-04-12 21:41:18,42.8,93.45,46.67,30,0,6.87
216,Nishihara,JP,2021-04-12 21:41:19,26.1842,127.7558,71.6,94,75,4.61
217,Sarahan,IN,2021-04-12 21:41:19,31.5167,77.8,44.91,50,1,9.57
218,The Valley,AI,2021-04-12 21:41:19,18.217,-63.0578,80.6,69,20,11.5
219,Skibbereen,IE,2021-04-12 21:41:20,51.55,-9.2667,46.4,76,75,4.61
220,Pochutla,MX,2021-04-12 21:41:20,15.7432,-96.4661,87.01,63,0,8.99
221,Aripuana,BR,2021-04-12 21:36:56,-9.1667,-60.6333,75.34,95,89,0.45
222,Harsin,IR,2021-04-12 21:41:20,34.2721,47.5861,46.4,46,40,4.88
223,Sao Joao Da Barra,BR,2021-04-12 21:41:21,-21.6403,-41.0511,82.4,61,0,6.91
224,Bezhetsk,RU,2021-04-12 21:41:21,57.7851,36.6965,46.35,83,100,9.48
225,Atuona,PF,2021-04-12 21:41:21,-9.8,-139.0333,80.74,74,44,16.53
226,Hofn,IS,2021-04-12 21:37:40,64.2539,-15.2082,37.09,71,1,6.87
227,Bambous Virieux,MU,2021-04-12 21:41:22,-20.3428,57.7575,75.2,94,75,6.91
228,Shunyi,CN,2021-04-12 21:41:22,40.125,116.6453,45.0,38,0,6.71
229,Kenora,CA,2021-04-12 21:41:23,49.8167,-94.4337,33.8,93,90,10.36
230,Sesori,SV,2021-04-12 21:41:23,13.7167,-88.3667,96.8,44,20,3.44
231,Nuuk,GL,2021-04-12 21:41:23,64.1835,-51.7216,37.4,60,40,1.14
232,Sao Filipe,CV,2021-04-12 21:41:24,14.8961,-24.4956,76.01,67,38,7.2
233,Onalaska,US,2021-04-12 21:41:24,43.8844,-91.2351,50.0,57,90,14.97
234,Cherskiy,RU,2021-04-12 21:39:27,68.75,161.3,-10.71,90,62,4.56
235,Roma,US,2021-04-12 21:41:18,43.2128,-75.4557,48.2,87,90,6.67
236,Kampong Chhnang,KH,2021-04-12 21:41:25,12.1667,104.55,77.27,85,85,4.52
237,Havelock,US,2021-04-12 21:38:45,34.8791,-76.9013,78.01,30,5,7.0
