City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Guira De Melena,CU,22.7906,-82.5053,86.0,42,0,11.5,clear sky
149,Tashtyp,RU,52.7939,89.8983,45.12,77,70,5.44,broken clouds
150,Saint-Francois,FR,46.4154,3.9054,39.2,65,0,10.36,clear sky
151,Hobart,AU,-42.8794,147.3294,54.0,54,75,10.36,broken clouds
152,Salta,AR,-24.7859,-65.4117,73.4,64,40,5.75,scattered clouds
153,Pevek,RU,69.7008,170.3133,20.26,92,100,6.85,light snow
154,Comodoro Rivadavia,AR,-45.8667,-67.5,64.4,55,0,8.05,clear sky
155,Andenes,NO,69.3143,16.1194,39.2,75,100,10.36,overcast clouds
156,Jiutai,CN,44.1525,125.8328,35.6,55,0,8.95,clear sky
157,Rundu,NA,-17.9333,19.7667,63.57,43,32,3.85,scattered clouds
158,Tuktoyaktuk,CA,69.4541,-133.0374,17.6,93,90,5.75,overcast clouds
159,East London,ZA,-33.0153,27.9116,60.39,65,7,10.33,clear sky
160,Asadabad,IR,34.7824,48.1185,54.0,38,98,6.55,overcast clouds
161,San Patricio,US,28.017,-97.5169,81.0,83,90,9.22,overcast clouds
162,Jamestown,US,42.097,-79.2353,39.99,100,90,13.8,overcast clouds
163,Darlowo,PL,54.421,16.4107,39.99,92,100,13.58,overcast clouds
164,Rafai,CF,4.95,23.9167,72.99,60,59,3.29,broken clouds
165,Bowmore,US,34.9421,-79.3031,71.01,24,1,8.05,clear sky
166,Erenhot,CN,43.6475,111.9767,32.23,34,0,5.7,clear sky
167,Bluff,NZ,-46.6,168.3333,44.01,92,93,4.0,overcast clouds
168,Severo-Kurilsk,RU,50.6789,156.125,33.15,72,4,11.56,clear sky
169,Vegachi,CO,6.7614,-74.7947,72.84,92,83,2.37,broken clouds
170,Corridonia,IT,43.2511,13.5088,46.0,61,99,1.99,overcast clouds
171,Biak,ID,-0.9131,122.8766,74.89,84,92,4.05,overcast clouds
172,Mbandaka,CD,0.0487,18.2603,73.27,93,99,6.31,light rain
173,Kapoeta,SS,4.7717,33.5903,82.22,44,42,6.87,scattered clouds
174,Cherskiy,RU,68.75,161.3,11.82,91,81,7.49,broken clouds
175,Griffith,US,41.5284,-87.4237,52.0,58,1,10.36,clear sky
176,Inhambane,MZ,-23.865,35.3833,71.35,59,62,17.9,broken clouds
177,Olot,ES,42.181,2.4901,46.0,53,91,5.75,overcast clouds
178,Lifford,IE,54.8319,-7.4836,43.03,85,100,4.03,overcast clouds
179,Manjacaze,MZ,-24.7117,33.8828,66.51,66,100,12.86,light rain
180,Naze,JP,28.3667,129.4833,67.75,85,98,16.35,light rain
181,Ngerengere,TZ,-6.75,38.1167,70.81,98,53,3.65,light rain
182,Tabou,CI,4.423,-7.3528,80.67,79,65,7.38,broken clouds
183,Kieta,PG,-6.2167,155.6333,77.86,90,100,7.56,light rain
184,Narsaq,GL,60.9167,-46.05,21.2,35,1,28.77,clear sky
185,Jacqueville,CI,5.2052,-4.4146,84.2,84,20,10.36,few clouds
186,Williams Lake,CA,52.1415,-122.1445,66.2,26,1,2.3,clear sky
187,Pochutla,MX,15.7432,-96.4661,91.4,38,20,11.5,few clouds
188,Aquin,HT,18.2833,-73.4,81.14,66,5,4.47,clear sky
189,Banda Aceh,ID,5.5577,95.3222,79.86,77,100,10.69,overcast clouds
190,Flinders,AU,-34.5833,150.8552,55.99,84,100,2.91,overcast clouds
191,Ambovombe,MG,-25.1667,46.0833,68.34,70,97,18.3,overcast clouds
192,Honavar,IN,14.2833,74.45,80.87,76,20,2.53,few clouds
193,Zvishavane,ZW,-20.3267,30.0665,60.06,90,80,14.25,light rain
194,Apan,MX,19.7167,-98.4167,82.4,17,20,17.27,few clouds
195,Edd,ER,13.9297,41.6925,85.89,54,26,13.4,scattered clouds
196,Norman Wells,CA,65.282,-126.8329,44.6,57,40,5.75,scattered clouds
197,Saint-Louis,SN,16.3333,-15.0,95.0,20,0,4.61,clear sky
198,La Asuncion,VE,11.0333,-63.8628,79.41,77,100,20.78,overcast clouds
199,San Andres,CO,12.5847,-81.7006,86.0,74,75,12.66,broken clouds
200,Chuguyevka,RU,44.1653,133.8633,41.86,81,51,3.56,broken clouds
201,Novaya Bryan,RU,51.7159,108.2691,26.6,68,44,4.47,scattered clouds
202,Meulaboh,ID,4.1363,96.1285,75.92,88,100,5.26,overcast clouds
203,Mormugao,IN,15.4,73.8,82.4,83,20,4.61,few clouds
204,Anadyr,RU,64.75,177.4833,33.8,86,20,20.13,few clouds
205,Diego De Almagro,CL,-26.3667,-70.05,69.26,34,0,8.1,clear sky
206,Pedernales,DO,18.0384,-71.744,83.68,64,21,5.61,few clouds
207,Tiarei,PF,-17.5333,-149.3333,87.8,62,40,13.8,light rain
208,Vila Franca Do Campo,PT,37.7167,-25.4333,62.6,88,40,9.22,scattered clouds
209,Avigliana,IT,45.0771,7.3986,46.99,67,96,6.08,light rain
210,Lujan,AR,-34.5703,-59.105,72.0,73,0,5.75,clear sky
211,Iskateley,RU,67.6803,53.1512,27.52,84,100,16.33,overcast clouds
212,Lavrentiya,RU,65.5833,-171.0,31.98,91,86,9.64,overcast clouds
213,Cherlak,RU,54.155,74.8055,35.62,77,51,13.09,broken clouds
214,Berdigestyakh,RU,62.0989,126.6992,31.77,90,99,10.33,light snow
215,Taupo,NZ,-38.6833,176.0833,57.99,89,99,8.01,overcast clouds
216,Krasnoselkup,RU,65.7,82.4667,3.94,93,100,7.78,overcast clouds
217,Sept-Iles,CA,50.2001,-66.3821,37.99,65,20,14.97,few clouds
218,Yangjiang,CN,21.85,111.9667,74.43,88,99,4.09,overcast clouds
219,Poum,NC,-20.2333,164.0167,77.54,78,98,10.0,overcast clouds
220,Saldanha,ZA,-33.0117,17.9442,66.2,48,0,3.44,clear sky
221,Mandalgovi,MN,45.7625,106.2708,30.76,33,0,8.14,clear sky
222,Leningradskiy,RU,69.3833,178.4167,33.93,82,100,4.45,overcast clouds
223,Nivala,FI,63.9167,24.9667,32.2,93,4,3.06,clear sky
224,Waipawa,NZ,-41.4122,175.5153,55.4,76,75,26.46,broken clouds
225,Bonavista,CA,48.6499,-53.1147,33.01,74,92,5.75,overcast clouds
226,Phalodi,IN,27.1333,72.3667,74.64,41,3,7.47,clear sky
227,Klimovo,RU,52.3805,32.1923,41.76,94,39,5.91,scattered clouds
228,College,US,64.8569,-147.8028,42.8,60,20,3.44,few clouds
229,Terra Santa,BR,-2.1042,-56.4869,76.53,91,96,2.55,light rain
230,Makakilo City,US,21.3469,-158.0858,78.8,53,75,10.36,broken clouds
231,Manicore,BR,-5.8092,-61.3003,86.0,74,0,2.3,light rain
232,Bayanday,RU,53.0661,105.5139,32.31,53,63,3.98,broken clouds
233,Lebu,CL,-37.6167,-73.65,56.05,78,100,10.25,overcast clouds
234,Gamba,GA,-2.65,10.0,78.71,87,92,4.18,light rain
